dataset,episode_index,session_id,condition_id,successful,task_geometry,intervention_frame,du_m,dv_m,dw_m,roll_rad,pitch_rad,yaw_rad,grasp_frame,alignment_frame,contact_frame,insertion_end_frame,source_of_labels,notes
insert_jc_fix_3,0,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_jc_fix_3,1,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_jc_fix_3,2,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_jc_fix_3,3,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_jc_fix_3,4,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_jc_fix_3,5,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_jc_fix_3,6,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_jc_fix_3,7,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_jc_fix_3,8,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_jc_fix_3,9,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_jc_fix_3,10,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_jc_fix_3,11,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_jc_fix_3,12,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_jc_fix_3,13,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_jc_fix_3,14,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
